run_key,batch,phase,mode,prompt_version,condition,repetition,horizon,status,run_dir,summary_stop_reason,summary_error,run_id,configured_rounds,observed_last_round,stop_reason,reference_fidelity,reference_fidelity_actual_final,reference_precision,reference_recall,progress_auc,stopping_class,stopping_gap,filled_pixels_horizon,filled_pixels_actual_final,analysis_image,validation_ok,validation_warning_count,localization_flag_count,intent_low_confidence_teams,accepted_pixel_actions,state_changing_pixel_actions,unique_target_coordinates,shared_target_coordinates,different_state_conflict_coordinates,intent_conflict_rate,shared_target_disagreement_rate,conflicts_per_100_actions,persistent_damage_episodes,intra_team_damage_episodes,cross_team_damage_episodes,destructive_overwrite_rate,observed_team_repairs,repair_rate,median_repair_latency_rounds,opponent_recoveries,unobserved_reversals,unrepaired_damage_episodes,agent_turns,team_posts_start,team_posts_mid,public_posts_start,public_posts_mid,forum_posts_total,used_forum,posts_per_100_turns,forum_posts_total_actual,generation_cost_usd,generation_cost_actual_total_usd,dollars_per_0_1_fidelity,prompt_tokens,completion_tokens,reasoning_tokens,billed_responses,invalid_output_responses,missing_cost_responses,rate_limit_retries,transient_retries,invalid_output_retries,recognizability,subjective_reference_fidelity,visual_coherence,visual_quality,separation_coherence,mean_object_recognizability,mean_subjective_reference_fidelity,apple_recognizability,apple_subjective_fidelity,orange_recognizability,orange_subjective_fidelity,lemon_recognizability,lemon_subjective_fidelity,eggplant_recognizability,eggplant_subjective_fidelity,judge_reason
competing_v1__homogeneous_family_per_team__rep_01,competing_v1,competing,competing,V1,homogeneous_family_per_team,1,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v1\runs\homogeneous_family_per_team\rep_01,max_steps,,drawing_competing_v1_homofamily_01,20,20,max_steps,0.6625805657690872,0.6625805657690872,0.5492741691491343,0.843588014850098,0.6322546705197323,censored,,440,440,analysis/results/analysis_canvases/competing_v1__homogeneous_family_per_team__rep_01.png,1,0,0,0,2013,802,1544,355,46,0.029792746113989636,0.1295774647887324,2.2851465474416295,42,11,31,0.05236907730673317,23,0.5476190476190477,1,0,4,19,324,0,0,1,0,1,1,0.30864197530864196,1,0.5306177167335,0.5306177167335,0.08008350141051723,989447,252462,207794,331,7,0,0,0,7,,,,0.625,2,3,2,3,2,4,3,2,1,3,2,"Overlaps smear lemon/apple; orange clearer, eggplant boxy but distinct."
competing_v1__homogeneous_family_per_team__rep_02,competing_v1,competing,competing,V1,homogeneous_family_per_team,2,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v1\runs\homogeneous_family_per_team\rep_02,max_steps,,drawing_competing_v1_homofamily_02,20,20,max_steps,0.48152920761215534,0.48152920761215534,0.36470457565239417,0.736445157707241,0.44146418508070606,censored,,390,390,analysis/results/analysis_canvases/competing_v1__homogeneous_family_per_team__rep_02.png,1,0,6,0,2484,1155,1637,475,201,0.12278558338423946,0.4231578947368421,8.091787439613526,406,8,398,0.3515151515151515,340,0.8374384236453202,1.0,0,19,66,324,0,1,0,0,1,1,0.30864197530864196,1,0.5024337514614003,0.5024337514614003,0.10434128263016654,988375,233327,184180,330,6,0,0,0,6,,,,0.5,1,3,2.75,4,4,2,2,3,2,3,3,Heavy overlap merges orange into lemon; objects not spatially separate.
competing_v1__homogeneous_family_per_team__rep_03,competing_v1,competing,competing,V1,homogeneous_family_per_team,3,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v1\runs\homogeneous_family_per_team\rep_03,max_steps,,drawing_competing_v1_homofamily_03,20,20,max_steps,0.7279737066567482,0.7279737066567482,0.6129708664082919,0.932983803986711,0.6578251986841643,censored,,501,501,analysis/results/analysis_canvases/competing_v1__homogeneous_family_per_team__rep_03.png,1,0,0,0,2196,929,1663,360,40,0.024052916416115455,0.1111111111111111,1.8214936247723132,59,59,0,0.06350914962325081,47,0.7966101694915254,2,0,5,12,324,0,1,1,0,2,1,0.6172839506172839,2,0.527485507164,0.527485507164,0.072459417468043,1014003,240502,191562,329,5,0,0,0,8,,,,0.5,1,3,2.25,3,2,3,2,3,2,3,3,"Heavy mixing, extra pixels and overlapping stems reduce individual legibility."
competing_v1__homogeneous_family_per_team__rep_04,competing_v1,competing,competing,V1,homogeneous_family_per_team,4,20,failed,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v1\runs\homogeneous_family_per_team\rep_04,,"OpenRouter rejected the request (529): {""error"":{""message"":""Provider returned error"",""code"":529,""metadata"":{""raw"":""{\""error\"":{\""code\"":\""1302\"",\""message\"":\""The system is currently overloaded. Please try again later.\"",\""type\"":\""SystemOverloaded\""},\""request_id\"":\""req-w2l29q-1789174718352391101\""}"",""provider_name"":""StreamLake"",""is_byok"":false,""provider_error_code"":""1302""}},""user_id"":""user_38U7XavhuhdUH6Rnx77t7RmqKKN""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5585012834741999,0.5585012834741999,,962681,281413,232403,319,12,0,,,,,,,,,,,,,,,,,,,
competing_v1__homogeneous_family_per_team__rep_05,competing_v1,competing,competing,V1,homogeneous_family_per_team,5,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v1\runs\homogeneous_family_per_team\rep_05,max_steps,,drawing_competing_v1_homofamily_05,20,20,max_steps,0.6712090726175233,0.6712090726175233,0.528671298227134,0.9275190879798263,0.6293353427332016,censored,,436,436,analysis/results/analysis_canvases/competing_v1__homogeneous_family_per_team__rep_05.png,1,0,1,0,2013,919,1625,298,66,0.040615384615384616,0.2214765100671141,3.278688524590164,50,18,32,0.0544069640914037,37,0.74,2,0,2,13,324,0,0,1,0,1,1,0.30864197530864196,1,0.5614405277678999,0.5614405277678999,0.08364614703112438,1023397,275844,230750,331,7,0,0,0,7,,,,0.59375,2,2.75,1.75,3,2,3,2,2,1,3,2,Heavy apple/lemon overlap; orange and eggplant more distinct.
competing_v2__all_gemini__rep_01,competing_v2,competing,competing,V2,all_gemini,1,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v2\runs\all_gemini\rep_01,max_steps,,drawing_competing_v2_all_gemini_01,20,20,max_steps,0.9866446588069453,0.9866446588069453,0.9736872559182689,1.0,0.8837335312683164,censored,,313,313,analysis/results/analysis_canvases/competing_v2__all_gemini__rep_01.png,1,0,0,0,1014,441,623,219,6,0.009630818619582664,0.0273972602739726,0.591715976331361,7,7,0,0.015873015873015872,7,1.0,1,0,2,0,324,1,1,4,0,6,1,1.8518518518518519,6,1.496529539999999,1.496529539999999,0.15167867444897623,1273071,551597,531364,324,0,0,0,0,0,,,,1.0,4,4,3.25,4,4,4,3,4,3,4,3,"Clean quadrants, all four fruits clearly match refs."
competing_v2__all_gemini__rep_02,competing_v2,competing,competing,V2,all_gemini,2,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v2\runs\all_gemini\rep_02,max_steps,,drawing_competing_v2_all_gemini_02,20,20,max_steps,0.9737468082908183,0.9737468082908183,0.9532765895040838,0.9955357142857143,0.8566944142619335,censored,,318,318,analysis/results/analysis_canvases/competing_v2__all_gemini__rep_02.png,1,0,0,0,1059,501,710,244,4,0.005633802816901409,0.01639344262295082,0.3777148253068933,8,8,0,0.015968063872255488,8,1.0,1.0,0,0,0,324,1,0,4,0,5,1,1.5432098765432098,5,1.4480550562500003,1.4480550562500003,0.14870960745860803,1310055,518086,497781,324,0,0,0,0,0,,,,1.0,4,4,3.75,4,4,4,3,4,4,4,4,"Well separated; orange highlight slightly off vs ref, others excellent matches."
competing_v2__all_gemini__rep_03,competing_v2,competing,competing,V2,all_gemini,3,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v2\runs\all_gemini\rep_03,max_steps,,drawing_competing_v2_all_gemini_03,20,20,max_steps,0.9434326545960792,0.9434326545960792,0.9145489004638538,0.9749792358803987,0.8529377102423777,censored,,324,324,analysis/results/analysis_canvases/competing_v2__all_gemini__rep_03.png,1,0,0,0,1332,594,851,290,10,0.011750881316098707,0.034482758620689655,0.7507507507507507,32,32,0,0.05387205387205387,31,0.96875,1,0,2,1,324,0,0,4,0,4,1,1.2345679012345678,4,1.5352267837500002,1.5352267837500002,0.1627277555288026,1279191,571220,548088,324,0,0,0,0,0,,,,1.0,4,4,4,4,4,4,4,4,4,4,4,"Quadrant layout, each fruit matches reference shape and colors closely."
competing_v2__all_gemini__rep_04,competing_v2,competing,competing,V2,all_gemini,4,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v2\runs\all_gemini\rep_04,stalled,,drawing_competing_v2_all_gemini_04,20,17,stalled,0.9895164741121095,0.9895164741121095,0.9794745484400657,1.0,0.8703978933182949,stall,0.010483525887890477,311,311,analysis/results/analysis_canvases/competing_v2__all_gemini__rep_04.png,1,0,0,0,1064,485,648,236,7,0.010802469135802469,0.029661016949152543,0.6578947368421053,15,15,0,0.030927835051546393,15,1.0,1,0,1,0,276,0,0,4,0,4,1,1.4492753623188406,4,1.2026625187500002,1.2026625187500002,0.12154042405702706,1109530,425993,406676,276,0,0,5,0,0,,,,1.0,4,4,4,4,4,4,4,4,4,4,4,Four distinct quadrant fruits match refs in shape and color with no overlap.
competing_v2__all_gemini__rep_05,competing_v2,competing,competing,V2,all_gemini,5,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v2\runs\all_gemini\rep_05,max_steps,,drawing_competing_v2_all_gemini_05,20,20,max_steps,0.9445836168209527,0.9445836168209527,0.9167426365143654,0.9749792358803987,0.8568488038095146,censored,,323,323,analysis/results/analysis_canvases/competing_v2__all_gemini__rep_05.png,1,0,0,0,1046,454,703,253,5,0.007112375533428165,0.019762845849802372,0.4780114722753346,8,8,0,0.01762114537444934,8,1.0,1.5,0,0,0,324,1,0,4,0,5,1,1.5432098765432098,5,1.6675529062499992,1.6675529062499992,0.17653841084627733,1293960,639553,619357,324,0,0,0,0,0,,,,1.0,4,4,4,4,4,4,4,4,4,4,4,Identical to first: four well-separated fruits matching references closely.
competing_v2__four_heterogeneous_teams__rep_01,competing_v2,competing,competing,V2,four_heterogeneous_teams,1,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v2\runs\four_heterogeneous_teams\rep_01,max_steps,,drawing_competing_v2_01,20,20,max_steps,0.8095408159493783,0.8095408159493783,0.7256750208390427,0.9284119451226834,0.665915984415009,censored,,392,392,analysis/results/analysis_canvases/competing_v2__four_heterogeneous_teams__rep_01.png,1,0,0,0,2122,1107,1781,271,66,0.03705783267827063,0.24354243542435425,3.1102733270499527,57,50,7,0.051490514905149054,44,0.7719298245614035,2.0,0,4,13,324,2,5,2,0,9,1,2.7777777777777777,9,0.5161044869244,0.5161044869244,0.06375274436522949,1203347,229865,180692,336,12,0,0,0,12,,,,0.8125,3,3.5,3,4,3,3,3,4,4,3,2,Mostly quadrant layout; stray red bar and eggplant extras reduce fidelity.
competing_v2__four_heterogeneous_teams__rep_02,competing_v2,competing,competing,V2,four_heterogeneous_teams,2,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v2\runs\four_heterogeneous_teams\rep_02,max_steps,,drawing_competing_v2_02,20,20,max_steps,0.6252134728936718,0.6252134728936718,0.4796655099286678,0.9147217607973421,0.5622622688699227,censored,,438,438,analysis/results/analysis_canvases/competing_v2__four_heterogeneous_teams__rep_02.png,1,0,1,0,2146,1097,1825,267,78,0.042739726027397264,0.29213483146067415,3.6346691519105314,134,31,103,0.12215132178669097,99,0.7388059701492538,2,1,10,34,324,1,2,2,1,6,1,1.8518518518518519,6,0.5051615411205002,0.5051615411205002,0.08079824940151466,1148354,227883,178988,332,8,0,0,0,10,,,,0.65625,2,3.25,2.5,4,3,3,2,3,2,3,3,Heavy overlap of lemon/orange/eggplant; apple isolated.
competing_v2__four_heterogeneous_teams__rep_03,competing_v2,competing,competing,V2,four_heterogeneous_teams,3,20,failed,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v2\runs\four_heterogeneous_teams\rep_03,,"OpenRouter rejected the request (529): {""error"":{""message"":""Provider returned error"",""code"":529,""metadata"":{""raw"":""{\""error\"":{\""code\"":\""1302\"",\""message\"":\""The system is currently overloaded. Please try again later.\"",\""type\"":\""SystemOverloaded\""},\""request_id\"":\""req-b4975v-1789176141378684316\""}"",""provider_name"":""StreamLake"",""is_byok"":false,""provider_error_code"":""1302""}},""user_id"":""user_38U7XavhuhdUH6Rnx77t7RmqKKN""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2199424211325,0.2199424211325,,479801,97434,73176,152,5,0,,,,,,,,,,,,,,,,,,,
competing_v2__four_heterogeneous_teams__rep_04,competing_v2,competing,competing,V2,four_heterogeneous_teams,4,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v2\runs\four_heterogeneous_teams\rep_04,max_steps,,drawing_competing_v2_04,20,20,max_steps,0.6348777116410458,0.6348777116410458,0.5031870803415739,0.8777682574150423,0.5708668475834325,censored,,437,437,analysis/results/analysis_canvases/competing_v2__four_heterogeneous_teams__rep_04.png,1,0,1,1,2291,1298,1860,337,146,0.07849462365591398,0.4332344213649852,6.37276298559581,133,37,96,0.1024653312788906,108,0.8120300751879699,1.5,0,31,25,324,1,2,3,0,6,1,1.8518518518518519,6,0.5421322735587006,0.5421322735587006,0.0853916059137413,1211311,246088,194621,337,13,0,0,0,13,,,,0.625,2,3,3,3,3,3,3,3,3,3,3,Clustered overlaps but each fruit stays regionally identifiable.
competing_v2__four_heterogeneous_teams__rep_05,competing_v2,competing,competing,V2,four_heterogeneous_teams,5,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v2\runs\four_heterogeneous_teams\rep_05,max_steps,,drawing_competing_v2_05,20,20,max_steps,0.7891419486955263,0.7891419486955263,0.6871657011772814,0.9477342092622983,0.6345679548656504,censored,,450,450,analysis/results/analysis_canvases/competing_v2__four_heterogeneous_teams__rep_05.png,1,0,0,0,2061,1139,1760,236,58,0.03295454545454545,0.2457627118644068,2.814167879670063,80,35,45,0.07023705004389816,73,0.9125,2,0,5,7,324,5,6,1,1,13,1,4.012345679012346,13,0.5238555448004999,0.5238555448004999,0.0663829296701877,1207937,223019,174748,331,7,0,0,0,7,,,,0.78125,3,3.25,2.5,4,3,3,3,3,2,3,2,"Quadrants held but lemon tailed, eggplant extra bar."
competing_v2__homogeneous_family_per_team__rep_01,competing_v2,competing,competing,V2,homogeneous_family_per_team,1,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v2\runs\homogeneous_family_per_team\rep_01,max_steps,,drawing_competing_v2_homofamily_01,20,20,max_steps,0.5102080853299307,0.5102080853299307,0.4120136934157636,0.6748266321098347,0.44136995817395275,censored,,251,251,analysis/results/analysis_canvases/competing_v2__homogeneous_family_per_team__rep_01.png,1,0,4,0,2274,1292,1337,550,286,0.21391174270755423,0.52,12.576956904133684,426,32,394,0.32972136222910214,331,0.7769953051643192,1,1,82,94,324,1,2,1,2,6,1,1.8518518518518519,6,0.6237796145427001,0.6237796145427001,0.12225984504720804,1168095,265528,216439,334,10,0,0,0,10,,,,0.40625,1,2.25,2.25,2,2,4,4,1,1,2,2,Orange isolated and faithful; apple/lemon/eggplant fused into one blob.
competing_v2__homogeneous_family_per_team__rep_02,competing_v2,competing,competing,V2,homogeneous_family_per_team,2,20,complete,C:\_Drive\02_Projects\01_Passion\MATS Neel\research_ideas_2026_09_09\collective_canvas_experiment\harness\batches\competing_v2\runs\homogeneous_family_per_team\rep_02,max_steps,,drawing_competing_v2_homofamily_02,20,20,max_steps,0.6124254927854302,0.6124254927854302,0.47692944276569865,0.865749584717608,0.5274159162999069,censored,,478,478,analysis/results/analysis_canvases/competing_v2__homogeneous_family_per_team__rep_02.png,1,0,1,1,2171,1013,1610,404,90,0.055900621118012424,0.22277227722772278,4.145555043758637,158,12,146,0.15597235932872655,97,0.6139240506329114,2,0,5,61,324,2,3,1,0,6,1,1.8518518518518519,6,0.5280467536872,0.5280467536872,0.08622220333865278,1132645,241531,191364,341,17,0,0,0,18,,,,0.59375,2,2.75,2.5,3,3,3,2,3,3,2,2,Overlaps distort eggplant/orange; apple and lemon remain identifiable.
